NDM@IC1@SIO2@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, Η/Μ 3ος ΚΤ-1
NDM@IC7@SIO3@R2	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΠΛΥΝΤΗΡΙΑ
NDM@IC3@SIO5@R2	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΓΚΑΡΑΖ R2.15
NDM@IC3@SIO4@R2	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΓΚΑΡΑΖ R1.1
NDM@IC2@SIO2@R2	IN	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΙΣΟΔΟΣ, 8.1 3ος ΚΤ-2Κ
NDM@IC4@SIO1@R2	IN	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΙΣΟΔΟΣ, 8.2 3ος ΚΤ-4
NDM@IC6@SIO3@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΑΝΕΜΙΣΤΗΡΕΣ R2.10
NDM@IC5@SIO4@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΑΠΟΘΗΚΗ R3.11
NDM@EPIXIR	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, R1a
NDM@IC7@SIO2@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΜΗΧΑΝΟΣΤΑΣΙΟ
NDM@IC5@SIO4@R2	IN	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΙΣΟΔΟΣ, 4.13 Α'ΙΣ ΚΤ-4
NDM@IC7@SIO7@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, Η/Μ Β'ΙΣ. ΚΤ-6
NDM@IC7@SIO6@R2	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΔΙΑΔΡΟΜΟΣ R3.20
NDM@IC6@SIO2@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΔΙΑΔΡΟΜΟΣ R2.7
KIS@R1	IN	ΚΕΝΤΡΟ ΙΣΤΟΡΙΑΣ, ΕΞΟΔΟΣ, R1a
NDM@IC6@SIO7@R2	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΓΚΑΡΑΖ R1.5
NDM@IC2@SIO8@R2	IN	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΙΣΟΔΟΣ, 6.2 1ος ΚΤ-2Κ
NDM@IC3@SIO8@R2	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΑΠΟΘΗΚΗ R2.15
NDM@IC5@SIO3@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΕΡΓΑΣΤΗΡΙΟ
NDM@IC7@SIO1@R2	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΓΚΑΡΑΖ R3.9
NDM@IC1@SIO5@R2	IN	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΙΣΟΔΟΣ, 5.3 Β' ΙΣ. ΚΤ-1
NDM@IC5@SIO7@R2	OUT	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΞΟΔΟΣ, 4.13 Α'ΙΣ ΚΤ-4
NDM@IC4@SIO1@R1	IN	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΙΣΟΔΟΣ, 7.3 2ος ΚΤ-4
NDM@IC1@SIO8@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΑΡΧΕΙΟ Α' ΥΠ ΚΤ-1
NDM@IC7@SIO5@R2	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΑΠΟΘΗΚΗ R3.19
NDM@IC2@SIO3@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, Η/Μ 2ος ΚΤ-2
NDM@IC8@SIO1@R1	IN	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΙΣΟΔΟΣ, 6.1 1ος ΚΤ-2
NDM@IC1@SIO7@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΓΚΑΡΑΖ Α' ΥΠ 3.30
NDM@IC2@SIO4@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, Η/Μ 1ος ΚΤ-2
NDM@IC6@SIO3@R2	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΔΙΑΔΡΟΜΟΣ R2.13
NDM@IC2@SIO1@R2	IN	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΙΣΟΔΟΣ, 9.1 4ος ΚΤ-2Κ
NDM@IC1@SIO1@R2	OUT	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΞΟΔΟΣ, 9.2 4ος ΚΤ-1
NDM@IC7@SIO5@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΔΙΑΔΡΟΜΟΣ
NDM@IC3@SIO3@R2	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΔΙΑΔΡΟΜΟΣ R1.16
NDM@IC5@SIO6@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΑΠΟΘΗΚΗ R3.16
